id2,Y
AU-204-205,0
AU-384-385,0
GU-113-114,0
GU-161-162,0
GU-219-220,0
GU-294-295,0
GU-315-316,0
GU-77-78,0
AU-1042-1043,0
AU-1572-1573,0
AU-211-212,0
AU-247-248,0
AU-276-277,0
AU-364-365,0
AU-42-43,0
AU-563-564,0
AU-62-63,0
AU-627-628,0
AU-671-672,0
AU-955-956,0
GU-106-107,0
GU-406-407,0
GU-438-439,0
GU-992-993,0
AU-1048-1049,0
AU-1243-1244,0
AU-127-128,0
AU-1273-1274,0
AU-1390-1391,0
AU-1532-1533,0
AU-1735-1736,0
AU-651-652,0
AU-685-686,0
AU-817-818,0
GU-1302-1303,0
GU-381-382,0
GU-759-760,0
GU-786-787,0
AU-123-124,0
AU-389-390,0
AU-546-547,0
GU-203-204,0
GU-87-88,0
AU-120-121,0
AU-279-280,0
AU-351-352,0
AU-739-740,0
AU-94-95,0
GU-511-512,0
GU-625-626,0
AU-253-254,0
AU-398-399,0
AU-460-461,0
AU-77-78,0
AU-1110-1111,0
AU-157-158,0
AU-65-66,0
AU-399-400,0
AU-740-741,0
GU-436-437,0
GU-63-64,0
AU-1171-1172,0
AU-1286-1287,0
AU-1495-1496,0
AU-1545-1546,0
AU-348-349,0
AU-746-747,0
AU-99-100,0
GU-1332-1333,0
GU-1423-1424,0
GU-250-251,0
AU-1143-1144,0
AU-1337-1338,0
AU-220-221,0
AU-902-903,0
GU-196-197,0
GU-752-753,0
AU-273-274,0
AU-296-297,0
AU-537-538,0
AU-565-566,0
AU-597-598,0
AU-632-633,0
AU-657-658,0
AU-80-81,0
AU-892-893,0
GU-483-484,0
GU-515-516,0
AU-158-159,0
AU-224-225,0
AU-334-335,0
AU-457-458,0
AU-58-59,0
AU-687-688,0
AU-732-733,0
AU-808-809,0
GU-130-131,0
AU-507-508,0
AU-90-91,0
GU-315-316,0
AU-194-195,0
AU-412-413,0
AU-360-361,0
AU-443-444,0
AU-42-43,0
AU-109-110,0
AU-132-133,0
AU-373-374,0
AU-434-435,0
AU-455-456,0
AU-680-681,0
GU-163-164,0
GU-229-230,0
GU-255-256,0
GU-268-269,0
AU-145-146,0
AU-352-353,0
GU-196-197,0
AU-450-451,0
AU-499-500,0
AU-900-901,0
