id2,Y
GU-763-764,0
GU-534-535,0
AU-114-115,0
GU-45-46,0
AU-545-546,0
AU-226-227,0
AU-632-633,0
AU-576-577,0
AU-193-194,0
GU-915-916,0
AU-963-964,0
GU-352-353,0
AU-469-470,0
AU-96-97,0
AU-71-72,0
AU-912-913,0
AU-1347-1348,0
AU-263-264,0
AU-655-656,0
AU-262-263,0
AU-204-205,0
GU-423-424,0
AU-211-212,0
GU-148-149,0
AU-462-463,0
AU-492-493,0
AU-114-115,0
AU-296-297,0
AU-1478-1479,0
AU-655-656,0
GU-206-207,0
AU-1295-1296,0
AU-344-345,0
AU-516-517,0
AU-218-219,0
AU-535-536,0
AU-285-286,0
GU-266-267,0
AU-1143-1144,0
AU-202-203,0
AU-59-60,0
AU-70-71,0
GU-1321-1322,0
AU-1263-1264,0
AU-806-807,0
GU-49-50,0
GU-1359-1360,0
AU-972-973,0
GU-424-425,0
GU-501-502,0
AU-603-604,0
AU-1323-1324,0
AU-193-194,0
AU-706-707,1
GU-1080-1081,1
AU-517-518,1
AU-710-711,1
AU-615-616,1
AU-994-995,1
GU-544-545,1
AU-880-881,1
AU-420-421,1
AU-1121-1122,1
AU-1109-1110,1
GU-580-581,1
GU-282-283,1
AU-937-938,1
GU-934-935,1
AU-429-430,1
GU-78-79,1
AU-746-747,1
GU-1363-1364,1
AU-432-433,1
AU-428-429,1
AU-1472-1473,1
AU-521-522,1
AU-793-794,1
GU-164-165,1
GU-530-531,1
GU-579-580,1
GU-438-439,1
AU-243-244,1
AU-431-432,1
GU-1622-1623,1
GU-272-273,1
GU-940-941,1
GU-1155-1156,1
GU-677-678,1
GU-1152-1153,1
GU-673-674,1
GU-1439-1440,1
AU-576-577,1
GU-76-77,1
AU-704-705,1
AU-779-780,1
AU-414-415,1
GU-1136-1137,1
GU-258-259,1
AU-601-602,1
AU-680-681,1
GU-795-796,1
AU-496-497,1
AU-504-505,1
GU-105-106,1
AU-124-125,1
GU-1216-1217,1
