id2,Y
AU-126-127,0
GU-455-456,0
AU-719-720,0
AU-331-332,0
GU-634-635,0
AU-617-618,0
GU-615-616,0
GU-584-585,0
GU-729-730,0
GU-376-377,0
GU-625-626,0
AU-198-199,0
GU-473-474,0
GU-515-516,0
AU-135-136,0
AU-596-597,0
GU-497-498,0
GU-205-206,0
AU-700-701,0
AU-470-471,0
AU-1432-1433,0
GU-539-540,0
AU-756-757,0
GU-502-503,0
GU-351-352,0
AU-603-604,0
GU-118-119,0
GU-621-622,0
AU-735-736,0
GU-529-530,0
GU-428-429,0
AU-500-501,0
AU-527-528,0
AU-200-201,0
GU-707-708,0
AU-517-518,0
GU-725-726,0
AU-294-295,0
AU-552-553,0
AU-447-448,0
GU-537-538,0
AU-204-205,0
AU-532-533,0
AU-32-33,0
AU-173-174,0
GU-246-247,1
GU-114-115,1
GU-458-459,1
AU-631-632,1
GU-588-589,1
GU-159-160,1
GU-699-700,1
GU-129-130,1
AU-1806-1807,1
AU-2300-2301,1
AU-609-610,1
AU-833-834,1
GU-422-423,1
AU-658-659,1
GU-1361-1362,1
GU-2093-2094,1
GU-137-138,1
AU-759-760,1
AU-182-183,1
AU-1944-1945,1
GU-410-411,1
AU-147-148,1
AU-642-643,1
AU-541-542,1
GU-353-354,1
GU-597-598,1
GU-428-429,1
GU-140-141,1
GU-305-306,1
AU-2956-2957,1
AU-282-283,1
AU-374-375,1
GU-414-415,1
GU-242-243,1
AU-1181-1182,1
GU-296-297,1
AU-194-195,1
AU-1685-1686,1
GU-2858-2859,1
AU-591-592,1
GU-227-228,1
AU-188-189,1
GU-54-55,1
AU-678-679,1
AU-207-208,1
